Pclass,Sex,Age,SibSp,Ticket,Fare,Embarked
189,3,male,36.0,0,349247,7.8958,S
190,2,female,32.0,0,234604,13.0,S
191,2,male,19.0,0,28424,13.0,S
192,3,female,19.0,1,350046,7.8542,S
193,2,male,3.0,1,230080,26.0,S
194,1,female,44.0,0,PC 17610,27.7208,C
195,1,female,58.0,0,PC 17569,146.5208,C
196,3,male,,0,368703,7.75,Q
197,3,male,42.0,0,4579,8.4042,S
198,3,female,,0,370370,7.75,Q
199,2,female,24.0,0,248747,13.0,S
200,3,male,28.0,0,345770,9.5,S
201,3,male,,8,CA. 2343,69.55,S
202,3,male,34.0,0,3101264,6.4958,S
203,3,male,45.5,0,2628,7.225,C
204,3,male,18.0,0,A/5 3540,8.05,S
205,3,female,2.0,0,347054,10.4625,S
206,3,male,32.0,1,3101278,15.85,S
207,3,male,26.0,0,2699,18.7875,C
208,3,female,16.0,0,367231,7.75,Q
209,1,male,40.0,0,112277,31.0,C
210,3,male,24.0,0,SOTON/O.Q. 3101311,7.05,S
211,2,female,35.0,0,F.C.C. 13528,21.0,S
212,3,male,22.0,0,A/5 21174,7.25,S
213,2,male,30.0,0,250646,13.0,S
214,3,male,,1,367229,7.75,Q
215,1,female,31.0,1,35273,113.275,C
216,3,female,27.0,0,STON/O2. 3101283,7.925,S
217,2,male,42.0,1,243847,27.0,S
218,1,female,32.0,0,11813,76.2917,C
219,2,male,30.0,0,W/C 14208,10.5,S
220,3,male,16.0,0,SOTON/OQ 392089,8.05,S
221,2,male,27.0,0,220367,13.0,S
222,3,male,51.0,0,21440,8.05,S
223,3,male,,0,349234,7.8958,S
224,1,male,38.0,1,19943,90.0,S
225,3,male,22.0,0,PP 4348,9.35,S
226,2,male,19.0,0,SW/PP 751,10.5,S
227,3,male,20.5,0,A/5 21173,7.25,S
228,2,male,18.0,0,236171,13.0,S
229,3,female,,3,4133,25.4667,S
230,1,female,35.0,1,36973,83.475,S
231,3,male,29.0,0,347067,7.775,S
232,2,male,59.0,0,237442,13.5,S
233,3,female,5.0,4,347077,31.3875,S
234,2,male,24.0,0,C.A. 29566,10.5,S
235,3,female,,0,W./C. 6609,7.55,S
236,2,male,44.0,1,26707,26.0,S
237,2,female,8.0,0,C.A. 31921,26.25,S
238,2,male,19.0,0,28665,10.5,S
239,2,male,33.0,0,SCO/W 1585,12.275,S
240,3,female,,1,2665,14.4542,C
241,3,female,,1,367230,15.5,Q
242,2,male,29.0,0,W./C. 14263,10.5,S
243,3,male,22.0,0,STON/O 2. 3101275,7.125,S
244,3,male,30.0,0,2694,7.225,C
245,1,male,44.0,2,19928,90.0,Q
246,3,female,25.0,0,347071,7.775,S
247,2,female,24.0,0,250649,14.5,S
248,1,male,37.0,1,11751,52.5542,S
249,2,male,54.0,1,244252,26.0,S
250,3,male,,0,362316,7.25,S
251,3,female,29.0,1,347054,10.4625,S
252,1,male,62.0,0,113514,26.55,S
253,3,male,30.0,1,A/5. 3336,16.1,S
254,3,female,41.0,0,370129,20.2125,S
255,3,female,29.0,0,2650,15.2458,C
256,1,female,,0,PC 17585,79.2,C
257,1,female,30.0,0,110152,86.5,S
258,1,female,35.0,0,PC 17755,512.3292,C
259,2,female,50.0,0,230433,26.0,S
260,3,male,,0,384461,7.75,Q
261,3,male,3.0,4,347077,31.3875,S
262,1,male,52.0,1,110413,79.65,S
263,1,male,40.0,0,112059,0.0,S
264,3,female,,0,382649,7.75,Q
265,2,male,36.0,0,C.A. 17248,10.5,S
266,3,male,16.0,4,3101295,39.6875,S
267,3,male,25.0,1,347083,7.775,S
268,1,female,58.0,0,PC 17582,153.4625,S
269,1,female,35.0,0,PC 17760,135.6333,S
270,1,male,,0,113798,31.0,S
271,3,male,25.0,0,LINE,0.0,S
272,2,female,41.0,0,250644,19.5,S
273,1,male,37.0,0,PC 17596,29.7,C
274,3,female,,0,370375,7.75,Q
275,1,female,63.0,1,13502,77.9583,S
276,3,female,45.0,0,347073,7.75,S
277,2,male,,0,239853,0.0,S
278,3,male,7.0,4,382652,29.125,Q
279,3,female,35.0,1,C.A. 2673,20.25,S
280,3,male,65.0,0,336439,7.75,Q
281,3,male,28.0,0,347464,7.8542,S
282,3,male,16.0,0,345778,9.5,S
283,3,male,19.0,0,A/5. 10482,8.05,S
284,1,male,,0,113056,26.0,S
285,3,male,33.0,0,349239,8.6625,C
286,3,male,30.0,0,345774,9.5,S
287,3,male,22.0,0,349206,7.8958,S
288,2,male,42.0,0,237798,13.0,S
289,3,female,22.0,0,370373,7.75,Q
290,1,female,26.0,0,19877,78.85,S
291,1,female,19.0,1,11967,91.0792,C
292,2,male,36.0,0,SC/Paris 2163,12.875,C
293,3,female,24.0,0,349236,8.85,S
294,3,male,24.0,0,349233,7.8958,S
295,1,male,,0,PC 17612,27.7208,C
296,3,male,23.5,0,2693,7.2292,C
297,1,female,2.0,1,113781,151.55,S
298,1,male,,0,19988,30.5,S
299,1,female,50.0,0,PC 17558,247.5208,C
300,3,female,,0,9234,7.75,Q
301,3,male,,2,367226,23.25,Q
302,3,male,19.0,0,LINE,0.0,S
303,2,female,,0,226593,12.35,Q
304,3,male,,0,A/5 2466,8.05,S
305,1,male,0.92,1,113781,151.55,S
306,1,female,,0,17421,110.8833,C
307,1,female,17.0,1,PC 17758,108.9,C
308,2,male,30.0,1,P/PP 3381,24.0,C
309,1,female,30.0,0,PC 17485,56.9292,C
310,1,female,24.0,0,11767,83.1583,C
311,1,female,18.0,2,PC 17608,262.375,C
312,2,female,26.0,1,250651,26.0,S
313,3,male,28.0,0,349243,7.8958,S
314,2,male,43.0,1,F.C.C. 13529,26.25,S
315,3,female,26.0,0,347470,7.8542,S
316,2,female,24.0,1,244367,26.0,S
317,2,male,54.0,0,29011,14.0,S
318,1,female,31.0,0,36928,164.8667,S
319,1,female,40.0,1,16966,134.5,C
320,3,male,22.0,0,A/5 21172,7.25,S
321,3,male,27.0,0,349219,7.8958,S
322,2,female,30.0,0,234818,12.35,Q
323,2,female,22.0,1,248738,29.0,S
324,3,male,,8,CA. 2343,69.55,S
325,1,female,36.0,0,PC 17760,135.6333,C
326,3,male,61.0,0,345364,6.2375,S
327,2,female,36.0,0,28551,13.0,S
328,3,female,31.0,1,363291,20.525,S
329,1,female,16.0,0,111361,57.9792,C
330,3,female,,2,367226,23.25,Q
331,1,male,45.5,0,113043,28.5,S
332,1,male,38.0,0,PC 17582,153.4625,S
333,3,male,16.0,2,345764,18.0,S
334,1,female,,1,PC 17611,133.65,S
335,3,male,,0,349225,7.8958,S
336,1,male,29.0,1,113776,66.6,S
337,1,female,41.0,0,16966,134.5,C
338,3,male,45.0,0,7598,8.05,S
339,1,male,45.0,0,113784,35.5,S
340,2,male,2.0,1,230080,26.0,S
341,1,female,24.0,3,19950,263.0,S
342,2,male,28.0,0,248740,13.0,S
343,2,male,25.0,0,244361,13.0,S
344,2,male,36.0,0,229236,13.0,S
345,2,female,24.0,0,248733,13.0,S
346,2,female,40.0,0,31418,13.0,S
347,3,female,,1,386525,16.1,S
348,3,male,3.0,1,C.A. 37671,15.9,S
349,3,male,42.0,0,315088,8.6625,S
350,3,male,23.0,0,7267,9.225,S
351,1,male,,0,113510,35.0,S
352,3,male,15.0,1,2695,7.2292,C
353,3,male,25.0,1,349237,17.8,S
354,3,male,,0,2647,7.225,C
355,3,male,28.0,0,345783,9.5,S
356,1,female,22.0,0,113505,55.0,S
357,2,female,38.0,0,237671,13.0,S
358,3,female,,0,330931,7.8792,Q
359,3,female,,0,330980,7.8792,Q
360,3,male,40.0,1,347088,27.9,S
361,2,male,29.0,1,SC/PARIS 2167,27.7208,C
362,3,female,45.0,0,2691,14.4542,C
363,3,male,35.0,0,SOTON/O.Q. 3101310,7.05,S
364,3,male,,1,370365,15.5,Q
365,3,male,30.0,0,C 7076,7.25,S
366,1,female,60.0,1,110813,75.25,C
367,3,female,,0,2626,7.2292,C
368,3,female,,0,14313,7.75,Q
369,1,female,24.0,0,PC 17477,69.3,C
370,1,male,25.0,1,11765,55.4417,C
371,3,male,18.0,1,3101267,6.4958,S
372,3,male,19.0,0,323951,8.05,S
373,1,male,22.0,0,PC 17760,135.6333,C
374,3,female,3.0,3,349909,21.075,S
375,1,female,,1,PC 17604,82.1708,C
376,3,female,22.0,0,C 7077,7.25,S
377,1,male,27.0,0,113503,211.5,C
378,3,male,20.0,0,2648,4.0125,C
379,3,male,19.0,0,347069,7.775,S
380,1,female,42.0,0,PC 17757,227.525,C
381,3,female,1.0,0,2653,15.7417,C
382,3,male,32.0,0,STON/O 2. 3101293,7.925,S
383,1,female,35.0,1,113789,52.0,S
384,3,male,,0,349227,7.8958,S
385,2,male,18.0,0,S.O.C. 14879,73.5,S
386,3,male,1.0,5,CA 2144,46.9,S
387,2,female,36.0,0,27849,13.0,S
388,3,male,,0,367655,7.7292,Q
389,2,female,17.0,0,SC 1748,12.0,C
390,1,male,36.0,1,113760,120.0,S
391,3,male,21.0,0,350034,7.7958,S
392,3,male,28.0,2,3101277,7.925,S
393,1,female,23.0,1,35273,113.275,C
394,3,female,24.0,0,PP 9549,16.7,S
395,3,male,22.0,0,350052,7.7958,S
396,3,female,31.0,0,350407,7.8542,S
397,2,male,46.0,0,28403,26.0,S
398,2,male,23.0,0,244278,10.5,S
399,2,female,28.0,0,240929,12.65,S
400,3,male,39.0,0,STON/O 2. 3101289,7.925,S
401,3,male,26.0,0,341826,8.05,S
402,3,female,21.0,1,4137,9.825,S
403,3,male,28.0,1,STON/O2. 3101279,15.85,S
404,3,female,20.0,0,315096,8.6625,S
405,2,male,34.0,1,28664,21.0,S
406,3,male,51.0,0,347064,7.75,S
407,2,male,3.0,1,29106,18.75,S
408,3,male,21.0,0,312992,7.775,S
409,3,female,,3,4133,25.4667,S
410,3,male,,0,349222,7.8958,S
411,3,male,,0,394140,6.8583,Q
412,1,female,33.0,1,19928,90.0,Q
413,2,male,,0,239853,0.0,S
414,3,male,44.0,0,STON/O 2. 3101269,7.925,S
415,3,female,,0,343095,8.05,S
416,2,female,34.0,1,28220,32.5,S
417,2,female,18.0,0,250652,13.0,S
418,2,male,30.0,0,28228,13.0,S
419,3,female,10.0,0,345773,24.15,S
420,3,male,,0,349254,7.8958,C
421,3,male,21.0,0,A/5. 13032,7.7333,Q
422,3,male,29.0,0,315082,7.875,S
423,3,female,28.0,1,347080,14.4,S
424,3,male,18.0,1,370129,20.2125,S
425,3,male,,0,A/4. 34244,7.25,S
426,2,female,28.0,1,2003,26.0,S
427,2,female,19.0,0,250655,26.0,S
428,3,male,,0,364851,7.75,Q
429,3,male,32.0,0,SOTON/O.Q. 392078,8.05,S
430,1,male,28.0,0,110564,26.55,S
431,3,female,,1,376564,16.1,S
432,2,female,42.0,1,SC/AH 3085,26.0,S
433,3,male,17.0,0,STON/O 2. 3101274,7.125,S
434,1,male,50.0,1,13507,55.9,S
435,1,female,14.0,1,113760,120.0,S
436,3,female,21.0,2,W./C. 6608,34.375,S
437,2,female,24.0,2,29106,18.75,S
438,1,male,64.0,1,19950,263.0,S
439,2,male,31.0,0,C.A. 18723,10.5,S
440,2,female,45.0,1,F.C.C. 13529,26.25,S
441,3,male,20.0,0,345769,9.5,S
442,3,male,25.0,1,347076,7.775,S
443,2,female,28.0,0,230434,13.0,S
444,3,male,,0,65306,8.1125,S
445,1,male,4.0,0,33638,81.8583,S
446,2,female,13.0,0,250644,19.5,S
447,1,male,34.0,0,113794,26.55,S
448,3,female,5.0,2,2666,19.2583,C
449,1,male,52.0,0,113786,30.5,S
450,2,male,36.0,1,C.A. 34651,27.75,S
451,3,male,,1,65303,19.9667,S
452,1,male,30.0,0,113051,27.75,C
453,1,male,49.0,1,17453,89.1042,C
454,3,male,,0,A/5 2817,8.05,S
455,3,male,29.0,0,349240,7.8958,C
456,1,male,65.0,0,13509,26.55,S
457,1,female,,1,17464,51.8625,S
458,2,female,50.0,0,F.C.C. 13531,10.5,S
459,3,male,,0,371060,7.75,Q
460,1,male,48.0,0,19952,26.55,S
461,3,male,34.0,0,364506,8.05,S
462,1,male,47.0,0,111320,38.5,S
463,2,male,48.0,0,234360,13.0,S
464,3,male,,0,A/S 2816,8.05,S
465,3,male,38.0,0,SOTON/O.Q. 3101306,7.05,S
466,2,male,,0,239853,0.0,S
467,1,male,56.0,0,113792,26.55,S
468,3,male,,0,36209,7.725,Q
469,3,female,0.75,2,2666,19.2583,C
470,3,male,,0,323592,7.25,S
471,3,male,38.0,0,315089,8.6625,S
472,2,female,33.0,1,C.A. 34651,27.75,S
473,2,female,23.0,0,SC/AH Basle 541,13.7917,C
474,3,female,22.0,0,7553,9.8375,S
475,1,male,,0,110465,52.0,S
476,2,male,34.0,1,31027,21.0,S
477,3,male,29.0,1,3460,7.0458,S
478,3,male,22.0,0,350060,7.5208,S
479,3,female,2.0,0,3101298,12.2875,S
480,3,male,9.0,5,CA 2144,46.9,S
481,2,male,,0,239854,0.0,S
482,3,male,50.0,0,A/5 3594,8.05,S
483,3,female,63.0,0,4134,9.5875,S
484,1,male,25.0,1,11967,91.0792,C
485,3,female,,3,4133,25.4667,S
486,1,female,35.0,1,19943,90.0,S
487,1,male,58.0,0,11771,29.7,C
488,3,male,30.0,0,A.5. 18509,8.05,S
489,3,male,9.0,1,C.A. 37671,15.9,S
490,3,male,,1,65304,19.9667,S
491,3,male,21.0,0,SOTON/OQ 3101317,7.25,S
492,1,male,55.0,0,113787,30.5,S
493,1,male,71.0,0,PC 17609,49.5042,C
494,3,male,21.0,0,A/4 45380,8.05,S
495,3,male,,0,2627,14.4583,C
496,1,female,54.0,1,36947,78.2667,C
497,3,male,,0,C.A. 6212,15.1,S
498,1,female,25.0,1,113781,151.55,S
499,3,male,24.0,0,350035,7.7958,S
500,3,male,17.0,0,315086,8.6625,S
501,3,female,21.0,0,364846,7.75,Q
502,3,female,,0,330909,7.6292,Q
503,3,female,37.0,0,4135,9.5875,S
504,1,female,16.0,0,110152,86.5,S
505,1,male,18.0,1,PC 17758,108.9,C
506,2,female,33.0,0,26360,26.0,S
507,1,male,,0,111427,26.55,S
508,3,male,28.0,0,C 4001,22.525,S
509,3,male,26.0,0,1601,56.4958,S
510,3,male,29.0,0,382651,7.75,Q
511,3,male,,0,SOTON/OQ 3101316,8.05,S
512,1,male,36.0,0,PC 17473,26.2875,S
513,1,female,54.0,1,PC 17603,59.4,C
514,3,male,24.0,0,349209,7.4958,S
515,1,male,47.0,0,36967,34.0208,S
516,2,female,34.0,0,C.A. 34260,10.5,S
517,3,male,,0,371110,24.15,Q
518,2,female,36.0,1,226875,26.0,S
519,3,male,32.0,0,349242,7.8958,S
520,1,female,30.0,0,12749,93.5,S
521,3,male,22.0,0,349252,7.8958,S
522,3,male,,0,2624,7.225,C
523,1,female,44.0,0,111361,57.9792,C
524,3,male,,0,2700,7.2292,C
525,3,male,40.5,0,367232,7.75,Q
526,2,female,50.0,0,W./C. 14258,10.5,S
527,1,male,,0,PC 17483,221.7792,S
528,3,male,39.0,0,3101296,7.925,S
529,2,male,23.0,2,29104,11.5,S
530,2,female,2.0,1,26360,26.0,S
531,3,male,,0,2641,7.2292,C
532,3,male,17.0,1,2690,7.2292,C
533,3,female,,0,2668,22.3583,C
534,3,female,30.0,0,315084,8.6625,S
535,2,female,7.0,0,F.C.C. 13529,26.25,S
536,1,male,45.0,0,113050,26.55,S
537,1,female,30.0,0,PC 17761,106.425,C
538,3,male,,0,364498,14.5,S
539,1,female,22.0,0,13568,49.5,C
540,1,female,36.0,0,WE/P 5735,71.0,S
541,3,female,9.0,4,347082,31.275,S
542,3,female,11.0,4,347082,31.275,S
543,2,male,32.0,1,2908,26.0,S
544,1,male,50.0,1,PC 17761,106.425,C
545,1,male,64.0,0,693,26.0,S
546,2,female,19.0,1,2908,26.0,S
547,2,male,,0,SC/PARIS 2146,13.8625,C
548,3,male,33.0,1,363291,20.525,S
549,2,male,8.0,1,C.A. 33112,36.75,S
550,1,male,17.0,0,17421,110.8833,C
551,2,male,27.0,0,244358,26.0,S
552,3,male,,0,330979,7.8292,Q
553,3,male,22.0,0,2620,7.225,C
554,3,female,22.0,0,347085,7.775,S
555,1,male,62.0,0,113807,26.55,S
556,1,female,48.0,1,11755,39.6,C
557,1,male,,0,PC 17757,227.525,C
558,1,female,39.0,1,110413,79.65,S
559,3,female,36.0,1,345572,17.4,S
560,3,male,,0,372622,7.75,Q
561,3,male,40.0,0,349251,7.8958,S
562,2,male,28.0,0,218629,13.5,S
563,3,male,,0,SOTON/OQ 392082,8.05,S
564,3,female,,0,SOTON/O.Q. 392087,8.05,S
565,3,male,24.0,2,A/4 48871,24.15,S
566,3,male,19.0,0,349205,7.8958,S
567,3,female,29.0,0,349909,21.075,S
568,3,male,,0,2686,7.2292,C
569,3,male,32.0,0,350417,7.8542,S
570,2,male,62.0,0,S.W./PP 752,10.5,S
571,1,female,53.0,2,11769,51.4792,S
572,1,male,36.0,0,PC 17474,26.3875,S
573,3,female,,0,14312,7.75,Q
574,3,male,16.0,0,A/4. 20589,8.05,S
575,3,male,19.0,0,358585,14.5,S
576,2,female,34.0,0,243880,13.0,S
577,1,female,39.0,1,13507,55.9,S
578,3,female,,1,2689,14.4583,C
579,3,male,32.0,0,STON/O 2. 3101286,7.925,S
580,2,female,25.0,1,237789,30.0,S
581,1,female,39.0,1,17421,110.8833,C
582,2,male,54.0,0,28403,26.0,S
583,1,male,36.0,0,13049,40.125,C
584,3,male,,0,3411,8.7125,C
585,1,female,18.0,0,110413,79.65,S
586,2,male,47.0,0,237565,15.0,S
587,1,male,60.0,1,13567,79.2,C
588,3,male,22.0,0,14973,8.05,S
589,3,male,,0,A./5. 3235,8.05,S
590,3,male,35.0,0,STON/O 2. 3101273,7.125,S
591,1,female,52.0,1,36947,78.2667,C
592,3,male,47.0,0,A/5 3902,7.25,S
593,3,female,,0,364848,7.75,Q
594,2,male,37.0,1,SC/AH 29037,26.0,S
595,3,male,36.0,1,345773,24.15,S
596,2,female,,0,248727,33.0,S
597,3,male,49.0,0,LINE,0.0,S
598,3,male,,0,2664,7.225,C
599,1,male,49.0,1,PC 17485,56.9292,C
600,2,female,24.0,2,243847,27.0,S
601,3,male,,0,349214,7.8958,S
602,1,male,,0,113796,42.4,S
603,3,male,44.0,0,364511,8.05,S
604,1,male,35.0,0,111426,26.55,C
605,3,male,36.0,1,349910,15.55,S
606,3,male,30.0,0,349246,7.8958,S
607,1,male,27.0,0,113804,30.5,S
608,2,female,22.0,1,SC/Paris 2123,41.5792,C
609,1,female,40.0,0,PC 17582,153.4625,S
610,3,female,39.0,1,347082,31.275,S
611,3,male,,0,SOTON/O.Q. 3101305,7.05,S
612,3,female,,1,367230,15.5,Q
613,3,male,,0,370377,7.75,Q
614,3,male,35.0,0,364512,8.05,S
615,2,female,24.0,1,220845,65.0,S
616,3,male,34.0,1,347080,14.4,S
617,3,female,26.0,1,A/5. 3336,16.1,S
618,2,female,4.0,2,230136,39.0,S
619,2,male,26.0,0,31028,10.5,S
620,3,male,27.0,1,2659,14.4542,C
621,1,male,42.0,1,11753,52.5542,S
622,3,male,20.0,1,2653,15.7417,C
623,3,male,21.0,0,350029,7.8542,S
624,3,male,21.0,0,54636,16.1,S
625,1,male,61.0,0,36963,32.3208,S
626,2,male,57.0,0,219533,12.35,Q
